step,molindx,prediction_error,predicted_value,true_value,mae
1,1963,15.9832,9.0754,-6.9078,1.7306
2,3948,15.4184,9.9575,-5.4608,1.7831
8,4136,16.8196,-3.9212,12.8985,1.9061
