Bit,SMILES
105,[C](=[O])(-[c](:[cH]):[cH])-[c](:[cH]):[cH]
106,[c](:[cH]:[cH])(:[cH]:[cH])-[C](=[O])-[OH]
107,[N](-[CH2]-[CH2])(-[CH2]-[CH2])-[c](:[c]):[c]
108,[c]1(-[S](=[O])(=[O])-[NH]-[C]):[cH]:[cH]:[c]:[cH]:[cH]:1
109,[cH]1:[cH]:[c](-[O]):[c]:[cH]:[c]:1-[N+](=[O])-[O-]
110,[S](-[c])(-[C])(=[O])=[O]
111,[O](-[c](:[cH]):[cH])-[CH](-[C])-[CH3]
112,[C](-[c])#[N]
113,[C]1(=[O])-[c](:[cH]:[cH]):[c](:[cH])-[C]-[c](:[c]):[c]-1:[c](:[cH])-[OH]
114,[C]
115,[CH2](-[CH2]-[CH3])-[CH2]-[O]-[C]
116,[S]
117,[NH](-[C])-[CH]
118,[CH2](-[CH])-[O]
119,[CH2](-[CH2]-[CH2])-[CH2]-[CH2]
120,[cH](:[c](:[cH])-[C]):[c](:[cH])-[O]
121,[CH3]-[n]
122,[cH]1:[cH]:[cH]:[c]:[cH]:[c]:1-[NH]-[C]
123,[c](-[Cl])(:[cH]:[c]):[c](-[C]):[cH]
124,[c]1(-[CH2]-[C](=[O])-[OH]):[cH]:[cH]:[c]:[cH]:[cH]:1
125,[c](:[cH]:[c])(-[C](-[NH])=[O]):[c](:[cH])-[OH]
126,[cH](:[cH]:[c]):[c](:[c])-[N]
127,[c]12:[cH]:[cH]:[c]:[cH]:[c]:1:[cH]:[c]:[c](:[cH]):[cH]:2
128,[NH]
129,[c](-[NH2])(:[cH]:[cH]):[c](:[cH])-[Cl]
130,[OH]-[C]
131,[cH](:[cH]:[cH]):[cH]:[n]
132,[C](-[c])(-[CH2])(-[CH2])-[OH]
133,[cH](:[cH]:[c]):[c](:[cH])-[Br]
134,[c](:[c])(:[n])=[O]
135,[c](:[n]:[c])(:[n]:[c])-[O]-[CH3]
136,[c](-[c])(:[cH]):[cH]
137,[N](=[N]-[c])-[CH](-[C])-[C]
138,[CH2](-[C])-[CH2]
139,[CH3]-[N]
140,[NH2]-[C]
141,[CH2](-[CH3])-[C](-[C])(-[CH2])-[N]
142,[cH](:[c](:[cH])-[CH3]):[c](:[c])-[OH]
143,[c](:[cH]:[c])(:[cH]:[c])-[C](=[O])-[OH]
144,[cH](:[cH]:[c]):[c](:[cH])-[NH2]
145,[C](-[c])(=[O])-[O]
146,[c](:[c])(:[c])-[N]
147,[NH2]
148,[n]1:[c](-[NH2]):[n]:[c]:[c](:[n]):[c]:1-[NH2]
149,[cH]1:[cH]:[c](-[CH3]):[c]:[c](-[CH3]):[cH]:1
150,[S](-[c])(-[CH2])(=[O])=[O]
151,[c](-[Cl])(:[cH]:[c]):[c](:[c])-[Cl]
152,[C](=[O])(-[CH2]-[c])-[O]-[CH2]
153,[c]1(-[O]-[C](-[CH3])=[O]):[cH]:[cH]:[cH]:[cH]:[c]:1-[C](=[O])-[O]
154,[c]1(-[N+](=[O])-[O-]):[cH]:[cH]:[cH]:[c](-[C]):[c]:1-[C](=[O])-[O]
155,[c](:[cH]:[c])(:[c](:[cH])-[OH])-[N+](=[O])-[O-]
156,[N](-[CH2]-[CH2]-[CH3])(-[CH2]-[CH2]-[CH3])-[c](:[c](:[cH])-[N+]):[c](:[cH])-[N+]
157,[cH](:[c](:[c])-[OH]):[c](:[cH])-[OH]
158,[cH]1:[cH]:[cH]:[c]:[cH]:[c]:1-[Cl]
159,[CH2](-[C](-[CH3])=[O])-[C](=[O])-[NH]-[c]
160,[CH2](-[CH2]-[c])-[CH2]-[CH2]
161,[cH](:[c](-[C]):[c]):[c](:[cH])-[O]
162,[s](:[c]):[c]
163,[O](-[CH2]-[C])-[c](:[c]):[cH]
164,[cH](:[cH]:[cH]):[c](:[c])-[N+]
165,[c](-[Cl])(:[cH]:[c]):[cH]:[cH]
166,[CH2](-[CH2]-[CH2]-[CH3])-[O]-[C](-[c])=[O]
167,[c](-[OH])(:[cH]:[c]):[cH]:[c]
168,[n](:[cH]:[c]):[c](:[cH]):[c]
169,[cH]1:[cH]:[cH]:[cH]:[c](-[C]):[c]:1-[Cl]
