molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
3077,298.15,8.75147,-0.28225,5988.10843,5.6756,0.0,2.1143,-2.0951,-47.1323,-45.7864
3078,293.15,2.05412,-0.5769,24473.21475,8.0219,0.793,3.0559,-9.7782,-60.7355,-51.2814
3079,298.15,-3.50656,-0.30019,8592.06472,0.0,1.817,1.3727,4.5688,-26.6078,-21.7078
3080,297.15,-4.93367,-0.74903,40256.76002,8.4761,0.0,3.9438,-40.8018,-78.1068,-98.7959
3083,293.15,9.23014,-0.94255,21537.931,9.7476,1.0118,4.8401,2.0747,-100.2737,-77.3936
3084,296.15,5.1918,-0.95046,14878.10235,6.7534,1.6502,3.823,3.5208,-80.764,-60.7422
3085,298.15,8.22646,-0.50661,7834.51804,6.3152,0.8391,2.944,-1.3088,-65.1011,-57.175
3086,273.15,8.04879,-0.80659,6820.58037,2.2668,3.0721,2.6923,0.1915,-55.9434,-51.2976
3087,298.15,4.60517,-0.69046,16803.18835,7.056,0.8797,3.6297,-14.5981,-68.309,-75.0716
3088,298.15,9.41636,-0.34629,3505.05467,2.2315,1.8309,1.7817,-2.0473,-40.7424,-42.7897
3089,280.15,9.26861,-0.80003,5518.50647,2.6238,2.914,2.5929,-1.3424,-53.5651,-50.0856
3090,293.15,8.51719,-0.38347,5953.86892,4.9792,0.8983,2.2304,-2.1125,-49.7043,-51.8168
3091,298.15,5.72361,-0.2568,7126.32797,2.7176,0.8915,1.7095,2.0399,-38.6169,-35.5482
3092,298.05,8.96188,-1.21821,19234.76143,7.9903,3.7195,5.1388,4.0902,-105.9649,-101.8747
3093,293.15,5.17048,-0.25333,6037.64895,5.6711,0.0,2.238,-2.51,-51.1422,-48.8207
3094,295.15,4.70048,-0.48123,9915.02013,5.4324,0.7246,2.2098,-8.3985,-46.6039,-47.2902
3095,310.15,7.64008,-0.98192,4003.8084,0.901,3.9517,3.8714,-8.8171,-68.8338,-73.903
3096,293.15,7.72754,-0.34052,4755.31005,4.4593,0.8612,2.1397,-3.1215,-47.8789,-51.0005
3097,298.15,10.162,-0.24853,3154.87832,3.047,0.7064,0.9349,-2.2462,-21.9793,-24.2254
3098,298.15,8.41183,-1.28635,25847.45514,7.7352,4.5141,6.0146,-6.852,-123.1494,-122.4172
3099,293.15,-1.14885,-0.27392,17398.54583,4.5365,0.6331,1.0093,-17.342,-21.7119,-39.0539
3100,298.15,9.90348,-0.81295,8325.99832,6.6778,1.275,3.8636,-1.1458,-74.2085,-54.2898
3102,298.15,3.61088,-0.27033,9670.636,6.272,0.0,2.3873,-7.1991,-45.6137,-41.2313
3104,298.15,2.30167,-0.89969,31185.55014,11.461,0.0,4.6996,2.3635,-98.0247,-50.6307
3106,298.15,1.8563,-0.7631,12803.59577,3.9487,3.7479,3.7412,-15.4242,-83.376,-98.8002
3107,293.15,0.99327,-0.67941,29103.75616,9.8344,0.799,3.603,-7.012,-73.751,-56.374
3109,298.15,10.59663,-0.60911,3751.20435,2.9665,1.551,2.3933,-1.1867,-41.3119,-37.3116
3110,294.15,6.27288,-0.36863,7944.56164,4.2722,0.6007,0.9807,2.2146,-23.4528,-21.2382
3111,298.15,7.30569,-0.3421,10592.17667,6.2545,0.0,1.8107,2.1686,-41.4694,-26.3815
3112,294.15,6.7334,-0.24432,6550.83647,5.3664,0.0,1.5497,-2.3759,-35.5242,-30.5741
3113,293.15,1.79155,-0.67825,21068.99291,9.1982,0.7034,3.5391,-6.0858,-76.5656,-74.3383
