molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
912,300.15,10.42518,-0.51687,6098.79691,6.2191,0.7829,3.2704,1.5006,-67.9875,-49.7148
913,288.15,7.09008,-0.46893,12711.27994,5.6761,0.7004,1.987,-10.0234,-43.461,-53.4844
914,298.15,8.04471,-0.40673,6750.52291,3.8377,1.084,1.9754,-9.2466,-42.1489,-51.3954
915,298.15,10.96396,-1.01282,10658.52611,6.1363,3.0932,5.0001,4.0475,-107.9288,-92.908
916,298.15,9.31458,-0.80925,5959.64025,2.993,3.1206,2.7851,0.4626,-53.3794,-52.9168
917,298.15,-4.50432,-0.0823,16889.36356,3.5777,0.0,1.0148,-1.0212,-27.0314,-28.0526
918,298.15,2.30259,-0.8205,16726.72061,5.2962,1.9621,2.8058,-5.7727,-59.2197,-59.5606
919,293.15,5.29834,-1.03447,29529.38576,7.5189,1.1458,4.754,-8.0114,-93.827,-72.4961
920,293.15,8.64997,-0.57609,6358.84123,6.2071,0.0,3.4211,-6.8423,-62.643,-45.2214
921,298.15,7.86327,-0.93523,13215.75586,6.2062,2.4383,3.2803,5.4904,-69.602,-55.9201
922,297.15,-6.95905,-0.07116,19133.96627,3.1356,0.0,0.9991,0.5131,-26.262,-25.2604
923,293.15,6.39693,-0.87624,5793.81921,2.4335,3.4337,3.0971,-4.4005,-59.5033,-63.9038
924,293.15,3.21887,-0.9306,34554.42131,10.4377,0.7206,4.2678,13.3532,-91.4637,-48.6912
925,293.15,9.81466,-0.31709,3422.6158,4.8836,0.0,2.3182,-1.7705,-46.8853,-33.207
926,293.15,4.86753,-0.10413,3381.33817,1.886,0.0,1.0318,1.1027,-25.8937,-22.5132
927,293.15,5.05369,-0.48625,18658.41415,8.9171,0.0,4.0104,4.489,-87.7687,-49.4185
928,298.15,-3.04524,-0.09154,14788.17211,3.7887,0.0,0.8909,-2.5548,-24.3192,-26.874
929,298.15,5.93385,-0.08816,3230.60715,2.7673,0.0,0.7669,-0.3692,-20.4857,-20.8549
930,297.15,-3.50656,-0.29873,26413.98951,6.3979,0.0,2.2,-0.2007,-51.6006,-35.741
931,285.15,4.06044,-0.20313,8459.6214,5.6434,0.0,2.1182,-10.2446,-51.5475,-51.4913
932,295.15,6.42915,-0.79881,4817.9693,3.4265,2.1028,3.5384,-2.7401,-70.5292,-65.362
933,293.15,9.13748,-0.38361,5596.6798,5.989,0.0,2.521,0.4632,-51.3746,-32.7657
934,288.15,5.91889,-0.21622,4976.99668,4.3353,0.0,0.878,-1.4634,-20.9822,-22.4456
935,293.15,5.65599,-0.56924,4014.70799,3.0567,1.0788,2.9228,-8.8464,-53.6665,-54.3504
936,298.15,0.4638,-0.1766,10251.40852,3.8249,0.0,1.766,4.5982,-39.6914,-29.7743
937,298.15,2.31254,-0.04483,6623.59726,2.0436,0.0,0.5057,2.482,-13.7071,-11.0648
938,298.15,6.55017,-0.34078,10327.44989,6.1947,0.0,1.8223,2.1887,-39.3143,-25.9893
939,298.15,3.53806,-0.34946,11537.21051,4.7542,0.0,0.8973,5.7283,-17.3945,-11.6662
940,298.15,7.77069,-1.17611,30906.53419,11.1886,2.5254,5.5114,-7.965,-118.6865,-110.1812
941,298.15,6.21646,-0.08596,2825.72314,2.4916,0.0,0.6518,-0.6302,-17.5379,-17.3324
942,303.15,5.47319,-0.36827,9642.53688,6.3222,0.0,1.6132,1.6679,-37.3988,-25.5234
943,293.15,8.00637,-0.48577,3750.03724,3.5761,1.7489,2.7065,-1.6942,-53.4132,-55.1074
944,293.15,8.3924,-1.04391,19356.83985,8.9115,2.0924,5.1508,-0.946,-103.9291,-98.5318
945,303.15,-10.2488,-0.09702,25201.81943,1.7126,0.0,1.1588,3.2641,-27.1426,-22.782
946,293.15,5.40717,-1.73769,30605.63912,9.8572,3.6474,7.2635,-6.237,-141.2516,-117.225
947,293.15,-4.88617,-0.06882,19166.19487,2.8685,0.0,0.8993,0.5121,-23.6805,-22.7061
948,298.15,6.03069,-0.11222,3775.68187,3.3934,0.0,0.8064,0.4805,-21.6602,-21.1796
949,298.15,2.19717,-0.32088,12260.45125,5.6054,1.0532,2.5724,-10.9825,-61.3532,-63.4734
950,298.15,4.60517,-0.52482,19340.13856,7.0683,0.9966,3.4132,-12.8469,-72.6913,-76.2549
951,288.15,3.52639,-0.16991,8501.7344,4.6625,0.0,1.7124,-10.2643,-41.3542,-45.0848
952,298.15,-4.11047,-0.08901,14768.30632,3.8162,0.0,0.8612,-2.5552,-23.6481,-25.8114
953,293.15,7.38399,-0.45413,5269.74966,3.1898,0.987,2.2767,-3.1524,-45.6699,-54.4347
954,298.15,6.02378,-0.10848,3775.00519,3.4313,0.0,0.8581,0.4804,-22.9596,-22.4792
955,298.15,8.50916,-0.67218,16559.43612,8.9771,0.7514,5.1318,-8.4062,-102.1535,-86.9339
956,298.15,3.91202,-0.36281,20291.37283,7.093,0.0,3.1282,-1.4909,-64.4598,-48.2698
957,293.15,2.56495,-0.73287,26676.68476,11.1213,0.7316,4.436,-6.7742,-100.7335,-71.4496
958,298.15,3.09104,-0.4706,15597.24462,6.5,0.0,2.1953,-5.1052,-47.5652,-40.5417
959,298.15,-5.31022,-0.08127,16881.96532,3.6071,0.0,0.9954,-1.0209,-26.6034,-27.294
960,298.15,4.95643,-0.46805,19181.05614,8.1611,0.0,2.9711,-5.3258,-56.0484,-46.3812
961,293.15,5.40728,-0.42612,9727.61497,3.826,1.084,2.0505,-6.7178,-43.5513,-50.269
962,298.15,6.21461,-0.063,2776.81925,2.4241,0.0,0.297,-1.3741,-9.1616,-10.5357
963,298.15,13.4,-0.2371,4400.99704,3.6722,0.0,1.4192,-8.4028,-26.2275,-32.0423
964,298.15,2.95491,-0.04923,6770.63696,1.9795,0.0,0.2184,1.4812,-6.9158,-5.306
965,303.15,-11.3996,-0.10118,25231.06059,1.6086,0.0,1.1371,3.2651,-26.5786,-21.8557
966,303.15,6.30262,-0.24535,6190.24336,4.8798,0.0,0.9257,-0.3504,-22.2727,-22.6231
967,298.15,6.95662,-0.70476,10521.48893,6.944,1.8806,3.2443,-0.103,-73.4136,-73.5166
968,293.15,0.78846,-0.8258,35146.99423,9.8055,0.0,2.1058,14.1521,-49.8348,-12.2682
969,298.15,9.75266,-0.46589,1807.10779,0.0,2.615,1.9498,-4.1862,-38.879,-39.3584
970,303.15,-8.00336,-0.10929,22599.93164,2.2964,0.0,1.1937,1.7311,-28.6011,-25.3885
971,293.15,0.83276,-0.5606,28072.93438,9.6338,0.0,3.6895,9.7529,-79.5113,-35.4749
972,298.15,-2.39568,-0.09095,14732.91542,4.0176,0.0,0.9357,-2.5561,-25.577,-28.133
973,298.15,4.20916,-0.05654,5063.22302,2.4806,0.0,0.5276,0.8218,-14.6172,-13.7954
974,298.15,7.37516,-0.61272,6986.47272,3.9807,1.7165,3.1447,-0.4283,-62.911,-57.2045
975,298.15,9.87303,-0.12984,1027.8856,1.7133,0.7393,1.2991,-2.8221,-23.1827,-26.0048
976,298.15,4.22829,-0.0535,5082.31279,2.1375,0.0,0.3378,0.8217,-9.8575,-8.7298
977,298.15,9.90349,-0.82139,14664.42102,8.4059,3.2461,4.9779,-1.2431,-107.8804,-97.9981
978,299.15,2.63899,-0.57371,27757.15269,2.4869,2.1917,2.9462,-1.1516,-63.2347,-64.1077
979,310.15,9.73507,-0.42163,5028.45973,5.6831,0.0,2.528,-2.1444,-55.787,-45.2083
980,298.15,4.02538,-0.57219,20137.15843,7.4478,0.0,3.5553,-0.6714,-76.1859,-64.6006
981,293.15,-1.39837,-0.10883,12776.95497,4.4132,0.0,0.7133,-5.1053,-20.724,-25.8293
982,295.15,8.06552,-0.91707,7296.47964,4.9868,2.2284,4.0171,-0.4917,-81.4576,-71.5083
983,293.15,9.82011,-0.22928,3430.42596,3.1904,0.7838,1.823,-3.0598,-32.1669,-28.8965
984,297.15,3.09156,-0.6379,19290.62377,8.1296,0.0,3.5457,-0.5055,-72.3679,-34.6706
