molindx,MolarMass,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,Temperature,logS
36,182.14,39.58064,6.543605467,122.477,207.098,-24.50325574,13.35921879,11.14403695,-8.02266087,-2.686699892,5.335960978,298.15,5.29832
37,203.0909,95.47888,10.20809903,128.639,219.763,-24.23813493,6.705799811,17.53233511,-8.015896116,-2.578406683,5.437489433,295.15,13.79523
38,225.1574,61.17008,4.014147034,142.111,242.807,-35.3907681,7.97899357,27.41177453,-8.010094646,-2.742106384,5.267988262,293.15,7.5909
39,229.11,56.19112,2.665501198,133.04,223.895,-20.78886589,-4.974391699,25.76325759,-8.005493198,-3.222422969,4.783070229,298.15,9.44936
40,129.075,55.35432,0.026563068,88.576,149.761,-2.893831039,-2.479332087,5.373163126,-7.999479478,-0.125126072,7.874353407,288.15,4.60504
41,183.18,61.79768,5.40265102,120.896,200.471,28.29361566,-16.80798747,-11.48562818,-7.997901217,-1.937278343,6.060622874,298.15,8.29405
42,129.08,65.73064,0.015627852,89.137,152.349,-4.795924236,-4.342772056,9.138696292,-7.992554177,-0.102652449,7.889901728,298.15,8.51719
43,167.12,45.98216,7.220044364,113.07,189.877,-3.349157149,2.741848472,0.607308676,-7.990535091,-2.550856229,5.439678862,298.15,8.18312
44,210.14,70.66776,4.060125966,140.32,238.291,30.96615685,-25.5419517,-5.424205152,-7.978472278,-1.812831631,6.165640646,296.15,10.17732
45,217.2,67.94816,7.626057725,132.436,224.896,-33.15252937,23.66876379,9.483765576,-7.977909002,-2.62384183,5.354067172,296.15,13.41055
46,211.1306,78.57552,9.840914831,129.03,217.975,34.25546725,-16.36084873,-17.89461852,-7.976880411,-2.065042397,5.911838014,298.15,7.67786
47,167.12,45.43824,4.862594908,120.896,203.673,-20.69614331,15.79712906,4.899014254,-7.964831203,-2.786363005,5.178468198,288.15,5.29832
48,211.1306,73.09448,7.996701386,127.114,215.978,15.84128231,-2.001743274,-13.83953903,-7.961557671,-2.722729146,5.238828526,298.15,9.90929
49,239.1842,55.35432,8.002517876,158.989,271.007,27.3201168,-18.76575181,-8.554364992,-7.955141223,-2.76730414,5.187837083,293.15,5.85507
